Synonym,Original_drug
Gammallin,Lindane
Gammaxene,Lindane
Lindan,Lindane
Î_-hexachlorocyclohexane,Lindane
Î_-Hexachlorzyklohexan,Lindane
Î_-lindane,Lindane
5-(Trifluoromethyl)deoxyuridine,Trifluridine
5-Trifluoromethyl-2-deoxyuridine,Trifluridine
Fâ‚ƒT,Trifluridine
TFT,Trifluridine
Trifluoromethyldeoxyuridine,Trifluridine
Trifluorothymidine,Trifluridine
Trifluorothymine deoxyriboside,Trifluridine
Trifluridin,Trifluridine
Trifluridina,Trifluridine
Trifluridine,Trifluridine
Trifluridinum,Trifluridine
2-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)-phenothiazine,Prochlorperazine
2-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine,Prochlorperazine
3-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)phenothiazine,Prochlorperazine
3-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine,Prochlorperazine
Capazine,Prochlorperazine
Chlormeprazine,Prochlorperazine
Chloro-3 (N-methylpiperazinyl-3 propyl)-10 phenothiazine,Prochlorperazine
Chloropernazine,Prochlorperazine
Emetiral,Prochlorperazine
N-(gamma-(4'-Methylpiperazinyl-1')propyl)-3-chlorophenothiazine,Prochlorperazine
Prochlorperazin,Prochlorperazine
ProchlorpÃ©razine,Prochlorperazine
Prochlorperazinum,Prochlorperazine
Prochlorpermazine,Prochlorperazine
Prochlorpromazine,Prochlorperazine
Procloperazine,Prochlorperazine
Proclorperazina,Prochlorperazine
1-methyl-4-(5-dibenzo(a e)cycloheptatrienylidene)piperidine,Cyproheptadine
1-Methyl-4-(5H-dibenzo(a d)cycloheptenylidene)piperidine,Cyproheptadine
4-(5-Dibenzo(a D)cyclohepten-5-ylidine)-1-methylpiperidine,Cyproheptadine
4-(5H-Dibenzo(a D)cyclohepten-5-ylidene)-1-methylpiperidine,Cyproheptadine
4-Dibenzo[a D]cyclohepten-5-ylidene-1-methyl-piperidine,Cyproheptadine
5-(1-methylpiperidylidene-4)-5H-dibenzo(a d)cyclopheptene,Cyproheptadine
Axoprol,Cyproheptadine
Ciproheptadina,Cyproheptadine
Cyproheptadin,Cyproheptadine
Cyproheptadine,Cyproheptadine
Cyproheptadinum,Cyproheptadine
Dihexazin,Cyproheptadine
Glutodina,Cyproheptadine
(.)NO,Nitric Oxide
(NO)(.),Nitric Oxide
[NO],Nitric Oxide
EDRF,Nitric Oxide
endothelium-derived relaxing factor,Nitric Oxide
Mononitrogen monoxide,Nitric Oxide
Monoxido de nitrogeno,Nitric Oxide
Monoxyde d'azote,Nitric Oxide
Nitric oxide,Nitric Oxide
nitrogen monooxide,Nitric Oxide
Nitrogen monoxide,Nitric Oxide
Nitrosyl,Nitric Oxide
NO,Nitric Oxide
NO(.),Nitric Oxide
Oxido de nitrogeno(ii),Nitric Oxide
Oxido nitrico,Nitric Oxide
Oxyde azotique,Nitric Oxide
Oxyde nitrique,Nitric Oxide
Stickstoff(ii)-oxid,Nitric Oxide
Stickstoffmonoxid,Nitric Oxide
+--3-Benzyl-3 4-dihydro-6-(trifluoromethyl)-2H-1 2 4-benzothiadiazine-7-sulfonamide 1 1-dioxide,Bendroflumethiazide
6-Trifluoromethyl-3-benzyl-7-sulfamyl-3 4-dihydro-1 2 4-benzothiadiazine 1 1-dioxide,Bendroflumethiazide
Bendrofluazide,Bendroflumethiazide
Bendroflumethiazid,Bendroflumethiazide
BendroflumÃ©thiazide,Bendroflumethiazide
Bendroflumethiazidum,Bendroflumethiazide
Bendroflumetiazida,Bendroflumethiazide
Benzhydroflumethiazide,Bendroflumethiazide
1 5-Dihydro-4H-pyrazolo(3 4-d)pyrimidin-4-one,Allopurinol
1 5-Dihydro-4H-pyrazolo(3 4-d)pyrimidine-4-one,Allopurinol
1H-Pyrazolo(3 4-d)pyrimidin-4-ol,Allopurinol
4-HPP,Allopurinol
4-Hydroxy-1H-pyrazolo(3 4-d)pyrimidine,Allopurinol
4-Hydroxy-3 4-pyrazolopyrimidine,Allopurinol
4-Hydroxypyrazolo(3 4-d)pyrimidine,Allopurinol
4-Hydroxypyrazolopyrimidine,Allopurinol
4-Hydroxypyrazolyl(3 4-d)pyrimidine,Allopurinol
4'-Hydroxypyrazolol(3 4-d)pyrimidine,Allopurinol
4H-Pyrazolo(3 4-d)pyrimidin-4-one,Allopurinol
Allopurinolum,Allopurinol
Alopurinol,Allopurinol
CAZ,Ceftazidime
Ceftazidim,Ceftazidime
Ceftazidima,Ceftazidime
Ceftazidime,Ceftazidime
Ceftazidime anhydrous,Ceftazidime
Ceftazidimum,Ceftazidime
2 4-Diamino-5-(3 4 5-trimethoxybenzyl)pyrimidine,Trimethoprim
5-[(3 4 5-Trimethoxyphenyl)methyl]-2 4-pyrimidinediamine,Trimethoprim
Trimethoprim,Trimethoprim
TrimÃ©thoprime,Trimethoprim
Trimethoprimum,Trimethoprim
Trimetoprima,Trimethoprim
2'-Deoxy-2' 2'-difluorocytidine,Gemcitabine
2' 2'-Difluorodeoxycytidine,Gemcitabine
4-amino-1-((2R 4R 5R)-3 3-Difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one,Gemcitabine
Gemcitabin,Gemcitabine
Gemcitabina,Gemcitabine
Gemcitabine,Gemcitabine
Gemcitabinum,Gemcitabine
Anhydrous entecavir,Entecavir
Entecavir,Entecavir
Entecavir (anhydrous),Entecavir
Entecavir anhydrous,Entecavir
Entecavirum,Entecavir
16beta-Methyl-1 4-pregnadiene-9alpha-fluoro-11beta 17alpha 21-triol-3 20-dione,Betamethasone
16Î_-Methyl-1 4-pregnadiene-9Î±-fluoro-11Î_ 17Î± 21-triol-3 20-dione,Betamethasone
9-Fluoro-16beta-methylprednisolone,Betamethasone
9-Fluoro-16Î_-methylprednisolone,Betamethasone
9alpha-Fluoro-16beta-methylprednisolone,Betamethasone
9Î±-Fluoro-16Î_-methylprednisolone,Betamethasone
beta-Methasone alcohol,Betamethasone
Betadexamethasone,Betamethasone
Betametasona,Betamethasone
Betamethasone,Betamethasone
Betamethasonum,Betamethasone
Betamethasonvalerat Mikron,Betamethasone
Rinderon,Betamethasone
4'-demethylepipodophyllotoxin 9-(4 6-O-(R)-2-thenylidene-beta-D-glucopyranoside),Teniposide
Epidophyllotoxin,Teniposide
Teniposid,Teniposide
TÃ©niposide,Teniposide
Teniposido,Teniposide
Teniposidum,Teniposide
4'-Epiadriamycin,Epirubicin
Epiadriamycin,Epirubicin
Epirubicin,Epirubicin
Epirubicina,Epirubicin
Epirubicine,Epirubicin
Epirubicinum,Epirubicin
Pidorubicina,Epirubicin
Pidorubicine,Epirubicin
Pidorubicinum,Epirubicin
Chloramex,Chloramphenicol
Chloramphenicol,Chloramphenicol
Chloramphenicolum,Chloramphenicol
Chlornitromycin,Chloramphenicol
Chlorocid,Chloramphenicol
Chlorocol,Chloramphenicol
Cloramfenicol,Chloramphenicol
D-(-)-2 2-Dichloro-N-(beta-hydroxy-alpha-(hydroxymethyl)-P-nitrophenylethyl)acetamide,Chloramphenicol
D-(-)-threo-1-P-Nitrophenyl-2-dichloroacetylamino-1 3-propanediol,Chloramphenicol
Fenicol,Chloramphenicol
Globenicol,Chloramphenicol
Halomycetin,Chloramphenicol
Laevomycetinum,Chloramphenicol
Levomicetina,Chloramphenicol
Levomycetin,Chloramphenicol
Oleomycetin,Chloramphenicol
Sificetina,Chloramphenicol
Anhydrous loracarbef,Loracarbef
Loracarbef,Loracarbef
Loracarbef  anhydrous,Loracarbef
Loracarbefum,Loracarbef
AG 1749,Lansoprazole
Bamalite,Lansoprazole
Lansoprazol,Lansoprazole
Lansoprazole,Lansoprazole
Lansoprazolum,Lansoprazole
Lanzol,Lansoprazole
Lanzopral,Lansoprazole
Lanzul,Lansoprazole
Limpidex,Lansoprazole
Monolitum,Lansoprazole
Ogastro,Lansoprazole
Opiren,Lansoprazole
(+-)-4-[1-Hydroxy-2-(methylamino)ethyl]-O-phenylene divavalate,Dipivefrin
1-(3' 4'-Dipivaloyloxyphenyl)-2-methylamino-1-ethanol,Dipivefrin
4-[1-Hydroxy-2-(methylamino)ethyl]-O-phenylene divavalate,Dipivefrin
Dipivalyl Epinephrine ,Dipivefrin
Dipivefrin,Dipivefrin
Dipivefrina,Dipivefrin
DipivÃ©frine,Dipivefrin
Dipivefrinum,Dipivefrin
Pro-Epinephrine,Dipivefrin
1-(1-(3-(P-Fluorobenzoyl)propyl)-1 2 3 6-tetrahydro-4-pyridyl)-2-benzimidazolinone,Droperidol
1-(1-(4-(P-Fluorophenyl)-4-oxobutyl)-1 2 3 6-tetrahydro-4-pyridyl)-2-benzimidazolinone,Droperidol
1-{1-[4-(4-fluoro-phenyl)-4-oxo-butyl]-1 2 3 6-tetrahydro-pyridin-4-yl}-1 3-dihydro-benzoimidazol-2-one,Droperidol
1-{1-[4-(4-fluorophenyl)-4-oxobutyl]-1 2 3 6-tetrahydro-4-pyridinyl}-2 3-dihydro-1H-benzo[D]imidazol-2-one,Droperidol
Droperidol,Droperidol
DropÃ©ridol,Droperidol
Droperidolo,Droperidol
Droperidolum,Droperidol
3 3' 5 5'-Tetraiodo-L-thyronine,Levothyroxine
3 5 3' 5'-TETRAIODO-L-thyronine,Levothyroxine
4-(4-Hydroxy-3 5-diiodophenoxy)-3 5-diiodo-L-phenylalanine,Levothyroxine
L-T4,Levothyroxine
L-Thyroxine,Levothyroxine
Levothyroxin,Levothyroxine
LT4,Levothyroxine
O-(4-Hydroxy-3 5-diidophenyl)-3 5-diiodo-L-tyrosine,Levothyroxine
O-(4-Hydroxy-3 5-diiodophenyl)-3 5-diiodo-L-tyrosine,Levothyroxine
T4,Levothyroxine
Fradiomycin B,Framycetin
Framicetina,Framycetin
Framycetin,Framycetin
FramycÃ©tine,Framycetin
Framycetinum,Framycetin
Neomycin B,Framycetin
Chlormethylenecycline,Clomocycline
Clomociclina,Clomocycline
Clomocyclina,Clomocycline
Clomocyclinum,Clomocycline
IsonipecaÃ¯ne,Pethidine
Meperidine,Pethidine
Pethidin,Pethidine
PÃ©thidine,Pethidine
Pethidine dbl,Pethidine
Pethidinum,Pethidine
Petidina,Pethidine
Petydyna,Pethidine
Sauteralgyl,Pethidine
Spasmedal,Pethidine
Spasmodolin,Pethidine
Loratadina,Loratadine
Loratadinum,Loratadine
3-Acetoxymethyl-7-(2-thienylacetamido)-3-cephem-4-carboxylic acid,Cefalotin
7-(2-Thienylacetamido)cephalosporanic acid,Cefalotin
7-(2'-Thienylacetamido)cephalosporanic acid,Cefalotin
7-(Thiophene-2-acetamido)cephalosporin,Cefalotin
Cefalothin,Cefalotin
Cefalotin,Cefalotin
Cefalotina,Cefalotin
Cefalotine,Cefalotin
Cefalotinum,Cefalotin
Cephalothin,Cefalotin
Cephalotin,Cefalotin
CET,Cefalotin
1-(4-Amino-6 7-dimethoxy-2-quinazolinyl)-4-(2-furanylcarbonyl)piperazine,Prazosin
2-(4-(2-Furoyl)piperazin-1-yl)-4-amino-6 7-dimethoxyquinazoline,Prazosin
Prazosina,Prazosin
Prazosine,Prazosin
Prazosinum,Prazosin
10 11-dihydro-N N-Dimethyl-5H-dibenz[b F]azepine-5-propanamine,Imipramine
3-(5H-DIBENZO[b F]azepin-5-yl)-N N-dimethylpropan-1-amine,Imipramine
5-[3-(dimethylamino)Propyl]-10 11-dihydro-5H-dibenz[b F]azepine,Imipramine
Antideprin,Imipramine
Imipramin,Imipramine
Imipramine,Imipramine
Imipraminum,Imipramine
Imizine,Imipramine
Irmin,Imipramine
Melipramine,Imipramine
N-(gamma-Dimethylaminopropyl)iminodibenzyl,Imipramine
N-(Î_-dimethylaminopropyl)iminodibenzyl,Imipramine
(all-e)-9-(4-Methoxy-2 3 6-trimethylphenyl)-3 7-dimethyl-2 4 6 8-nonatetraenoic acid,Acitretin
Acetretin,Acitretin
Acitretin,Acitretin
Acitretina,Acitretin
Acitretine,Acitretin
Acitretinum,Acitretin
all-trans-3 7-Dimethyl-9-(4-methoxy-2 3 6-trimethylphenyl)-2 4 6 8-nonatetraenoic acid,Acitretin
Etretin,Acitretin
Neotigason,Acitretin
Verteporfin,Verteporfin
Verteporfina,Verteporfin
VertÃ©porfine,Verteporfin
Verteporfinum,Verteporfin
4-(6-Methoxy-2-naphthalenyl)-2-butanone,Nabumetone
4-(6-Methoxy-2-naphthyl)-2-butanone,Nabumetone
Nabumeton,Nabumetone
Nabumetona,Nabumetone
NabumÃ©tone,Nabumetone
Nabumetone,Nabumetone
Nabumetonum,Nabumetone
(âˆ’)-scopolamine methobromide,Methylscopolamine bromide
(âˆ’)-scopolamine methyl bromide,Methylscopolamine bromide
Hyoscine Methobromide,Methylscopolamine bromide
Hyoscine methyl bromide,Methylscopolamine bromide
Methscopolamine bromide,Methylscopolamine bromide
N-methylhyoscine bromide,Methylscopolamine bromide
N-methylscopolammonium bromide,Methylscopolamine bromide
Scopolamine Methobromide,Methylscopolamine bromide
Scopolamine methyl bromide,Methylscopolamine bromide
Metarbital,Metharbital
Metharbital,Metharbital
Metharbitalum,Metharbital
7-Ethyl-2-methyl-4-undecanol sulfate sodium salt,Sodium Tetradecyl Sulfate
7-ethyl-2-methyl-4-undecanolsulfate  sodium salt,Sodium Tetradecyl Sulfate
Natrii tetradecylis sulfa,Sodium Tetradecyl Sulfate
Sodium 2-methyl-7-ethylundecanol-4-sulfate,Sodium Tetradecyl Sulfate
Sodium 7-ethyl-2-methyl-4-undecanol sulfate,Sodium Tetradecyl Sulfate
Sodium tetradecyl sulphate,Sodium Tetradecyl Sulfate
Sodium tetradecylsulfate,Sodium Tetradecyl Sulfate
STS,Sodium Tetradecyl Sulfate
Tetradecilsulfato sodico,Sodium Tetradecyl Sulfate
Tetradecyl sodium sulfate,Sodium Tetradecyl Sulfate
Tetradecyl sulfate de sodium,Sodium Tetradecyl Sulfate
(+-)-5-Benzoyl-2 3-dihydro-1H-pyrrolizine-1-carboxylic acid,Ketorolac
(+-)-Ketorolac,Ketorolac
Ketorolac,Ketorolac
KÃ©torolac,Ketorolac
Ketorolaco,Ketorolac
Ketorolacum,Ketorolac
rac-Ketorolac,Ketorolac
cocculin,Picrotoxin
1-Ethyl-6-fluoro-1 4-dihydro-4-oxo-7-(1-piperazinyl)-1 8-naphthyridine-3-carboxylic acid,Enoxacin
1-Ethyl-6-fluoro-4-oxo-7-piperazin-1-yl-1 4-dihydro-[1 8]naphthyridine-3-carboxylic acid,Enoxacin
Enoxacin,Enoxacin
Enoxacina,Enoxacin
Ã‰noxacine,Enoxacin
Enoxacino,Enoxacin
Enoxacinum,Enoxacin
(-)-Quinine,Quinine
(8S 9R)-Quinine,Quinine
(R)-(-)-Quinine,Quinine
(R)-(6-Methoxyquinolin-4-yl)((2S 4S 8R)-8-vinylquinuclidin-2-yl)methanol,Quinine
6'-Methoxycinchonidine,Quinine
Chinin,Quinine
Chinine,Quinine
Chininum,Quinine
Quinina,Quinine
Quinine,Quinine
Tenoxicam,Tenoxicam
TÃ©noxicam,Tenoxicam
Tenoxicamum,Tenoxicam
(-)-delta9-trans-Tetrahydrocannabinol,Dronabinol
1-trans-delta-9-Tetrahydrocannabinol,Dronabinol
3-Pentyl-6 6 9-trimethyl-6a 7 8 10a-tetrahydro-6H-dibenzo(b D)pyran-1-ol,Dronabinol
6 6 9-Trimethyl-3-pentyl-6a 7 8 10a-tetrahydro-6H-benzo[c]chromen-1-ol,Dronabinol
delta-9-tetrahydrocannabinol,Dronabinol
delta-9-THC,Dronabinol
delta(1)-Tetrahydrocannabinol,Dronabinol
delta(9)-THC,Dronabinol
delta9-Tetrahydrocannabinol,Dronabinol
Dronabinol,Dronabinol
Dronabinolum,Dronabinol
Tetrahydrocannabinol,Dronabinol
Î”9-tetrahydrocannabinol,Dronabinol
(R-(e))-1-(((1-(3-(2-(7-Chloro-2-quinolinyl)ethenyl)phenyl)-3-(2-(1-hydroxy-1-methylethyl)phenyl)propyl)thio)methyl)cyclopropaneacetic acid,Montelukast
1-[[[(1 R)-1-[3-[(1e)-2-(7-chloro-2-Quinolinyl)ethenyl] phenyl]-3-[2-(1-hydroxy-1-methylethyl)phenyl]propyl]sulfanyl]methyl]cyclopropaneacetic acid,Montelukast
Montelukast,Montelukast
MontÃ©lukast,Montelukast
Montelukastum,Montelukast
(+-)-N-Methyl-3-phenyl-3-((alpha alpha alpha-trifluoro-P-tolyl)oxy)propylamine,Fluoxetine
(+-)-N-Methyl-gamma-(4-(trifluoromethyl)phenoxy)benzenepropanamine,Fluoxetine
Fluoxetin,Fluoxetine
Fluoxetina,Fluoxetine
FluoxÃ©tine,Fluoxetine
Fluoxetinum,Fluoxetine
Cyclaine,Hexylcaine
Hexilcaina,Hexylcaine
Hexylcaine,Hexylcaine
Hexylcainum,Hexylcaine
(+-)-5-Allyl-1-methyl-5-(1-methyl-2-pentynyl)barbituric acid,Methohexital
5-Allyl-1-methyl-5-(1-methyl-2-pentynyl)-2 4 6(1H 3H 5H)-pyrimidinetrione,Methohexital
5-Allyl-1-methyl-5-(1-methyl-pent-2-ynyl)-pyrimidine-2 4 6-trione,Methohexital
5-Allyl-5-(3-hexyn-2-yl)-1-methylbarbituric acid,Methohexital
alpha-DL-1-Methyl-5-allyl-5-(1'-methylpentyn-2-yl)barbituric acid,Methohexital
Methohexital,Methohexital
Methohexitalum,Methohexital
Methohexitone,Methohexital
Metohexital,Methohexital
7-chloro-2-Methylamino-5-phenyl-3H-1 4-benzodiazepin-4-oxide,Chlordiazepoxide
CDP,Chlordiazepoxide
Chloradiazepoxide,Chlordiazepoxide
Chlordiazepoxide base,Chlordiazepoxide
Chlordiazepoxidum,Chlordiazepoxide
Clopoxide,Chlordiazepoxide
Helogaphen,Chlordiazepoxide
Methaminodiazepoxide,Chlordiazepoxide
Multum,Chlordiazepoxide
Risolid,Chlordiazepoxide
Silibrin,Chlordiazepoxide
(3S)-N-methyl-3-(1-naphthyloxy)-3-(2-thienyl)propan-1-amine,Duloxetine
(S)-duloxetine,Duloxetine
3-(2-chloro-10H-Phenothiazin-10-yl)-N N-dimethyl-1-propanamine,Chlorpromazine
3-(2-Chlorophenothiazin-10-yl)-N N-dimethyl-propan-1-amine,Chlorpromazine
Aminazine,Chlorpromazine
Chlorderazin,Chlorpromazine
Chloropromazine,Chlorpromazine
Chlorpromados,Chlorpromazine
Chlorpromazine,Chlorpromazine
Chlorpromazinum,Chlorpromazine
Clorpromazina,Chlorpromazine
Contomin,Chlorpromazine
CPZ,Chlorpromazine
N-(3-Dimethylaminopropyl)-3-chlorophenothiazine,Chlorpromazine
Rimantadin,Rimantadine
Rimantadine,Rimantadine
1-N-(L(-)-gamma-amino-alpha-Hydroxybutyryl)kanamycin a,Amikacin
Amicacin,Amikacin
Amiglyde-v,Amikacin
Amikacin,Amikacin
Amikacina,Amikacin
Amikacine,Amikacin
Amikacinum,Amikacin
Amikavet,Amikacin
Briclin,Amikacin
O-3-amino-3-Deoxy-alpha-D-glucopyranosyl-(1->4)-O-(6-amino-6-deoxy-alpha-D-glucopyranosyl-(1->6))-N(3)-(4-amino-L-2-hydroxybutyryl)-2-deoxy-L-streptamine,Amikacin
1-oxo-2-(2 6-Dioxopiperidin-3-yl)-4-aminoisoindoline,Lenalidomide
3-(4-Amino-1-oxoisoindolin-2-yl)piperidine-2 6-dione,Lenalidomide
CC-5013,Lenalidomide
CDC 501,Lenalidomide
IMid-1,Lenalidomide
IMiD3,Lenalidomide
(2-(4-Hydroxyphenyl)-6-hydroxybenzo(b)thien-3-yl)(4-(2-(1-piperidinyl)ethoxy)phenyl)methanone,Raloxifene
RaloxifÃ¨ne,Raloxifene
Raloxifeno,Raloxifene
Raloxifenum,Raloxifene
Celecoxib,Celecoxib
CÃ©lÃ©coxib,Celecoxib
Celecoxibum,Celecoxib
P-(5-P-Tolyl-3-(trifluoromethyl)pyrazol-1-yl)benzenesulfonamide,Celecoxib
Gallamin triethiodid,Gallamine Triethiodide
Gallamini Triethiodidum,Gallamine Triethiodide
TriÃ©thiodure de Gallamine,Gallamine Triethiodide
Trietioduro de galamina,Gallamine Triethiodide
5-Bromo-6-(2-imidazolin-2-ylamino)quinoxaline,Brimonidine
Brimonidina,Brimonidine
Brimonidine,Brimonidine
Brimonidinum,Brimonidine
Bromoxidine,Brimonidine
(2S 5R 6R)-6-({[3-(2 6-dichlorophenyl)-5-methyl-1 2-oxazol-4-yl]carbonyl}amino)-3 3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,Dicloxacillin
Dicloxacilina,Dicloxacillin
Dicloxacillin,Dicloxacillin
Dicloxacillina,Dicloxacillin
Dicloxacilline,Dicloxacillin
Dicloxacillinum,Dicloxacillin
Nabilon,Nabilone
Nabilona,Nabilone
Nabilone,Nabilone
Nabilonum,Nabilone
Labocton,Pefloxacin
Pefloxacin,Pefloxacin
Pefloxacine,Pefloxacin
Pefloxacino,Pefloxacin
Pefloxacinum,Pefloxacin
PFLX,Pefloxacin
2 4 6-Tris(dimethylamino)-1 3 5-triazine,Altretamine
2 4 6-Tris(dimethylamino)-S-triazine,Altretamine
Altretamin,Altretamine
Altretamina,Altretamine
AltrÃ©tamine,Altretamine
Altretaminum,Altretamine
Hexamethylmelamine,Altretamine
Hexastat,Altretamine
HMM,Altretamine
4'-(1-Hydroxy-2-(isopropylamino)ethyl)methane sulfonanilide,Sotalol
Sotalol,Sotalol
Sotalolo,Sotalol
Sotalolum,Sotalol
8-(4-(4-(2-Pyrimidinyl)-1-piperizinyl)butyl)-8-azaspiro(4 5)decane-7 9-dione,Buspirone
Buspiron,Buspirone
Buspirona,Buspirone
Buspirone,Buspirone
Buspironum,Buspirone
Miglitol,Miglitol
Miglitolum,Miglitol
(2S 4S)-4-Cyclohexyl-1-[2-[(2-methyl-1-propanoyloxypropoxy)-(4-phenylbutyl)phosphoryl]acetyl]pyrrolidine-2-carboxylic acid,Fosinopril
(2S 4S)-4-Cyclohexyl-1-{2-[(2-methyl-1-propionyloxy-propoxy)-(4-phenyl-butyl)-phosphinoyl]-acetyl}-pyrrolidine-2-carboxylic acid,Fosinopril
(S)-4-Cyclohexyl-1-{2-[(2-methyl-1-propionyloxy-propoxy)-(4-phenyl-butyl)-phosphinoyl]-acetyl}-pyrrolidine-2-carboxylic acid,Fosinopril
Fosinopril,Fosinopril
(6R 7R Z)-3-(Acetoxymethyl)-7-(2-(2-aminothiazol-4-yl)-2-(methoxyimino)acetamido)-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid,Cefotaxime
(6R 7R)-3-(Acetoxymethyl)-7-{[(2Z)-2-(2-amino-1 3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,Cefotaxime
(6R 7R)-3-Acetoxymethyl-7-{2-(2-amino-thiazol-4-yl)-2-[(Z)-methoxyimino]-acetylamino}-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid,Cefotaxime
Cefotaxim,Cefotaxime
Cefotaxima,Cefotaxime
CÃ©fotaxime,Cefotaxime
Cefotaximum,Cefotaxime
Cephotaxime,Cefotaxime
(e)-alpha-Cyano-N N-diethyl-3 4-dihydroxy-5-nitrocinnamamide,Entacapone
Entacapona,Entacapone
Entacapone,Entacapone
Entacaponum,Entacapone
N N-Diethyl-2-cyano-3-(3 4-dihydroxy-5-nitrophenyl) acrylamide,Entacapone
Azidothymidine,Zidovudine
AZT,Zidovudine
ZDV,Zidovudine
Zidovudin,Zidovudine
Zidovudinum,Zidovudine
(S)-1-(2-(2 3-dihydro-5-Benzofuranyl)ethyl)-alpha alpha-diphenyl-3-pyrrolidineacetamide,Darifenacin
Darifenacin,Darifenacin
Darifenacina,Darifenacin
DarifÃ©nacine,Darifenacin
Darifenacinum,Darifenacin
(-)-14-Hydroxydihydrocodeinone,Oxycodone
4 5-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one,Oxycodone
4 5alpha-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one,Oxycodone
4 5Î±-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one,Oxycodone
Dihydro-14-hydroxycodeinone,Oxycodone
Dihydrohydroxycodeinone,Oxycodone
Dihydroxycodeinone,Oxycodone
Oxicodona,Oxycodone
Oxycodone,Oxycodone
Oxycodonum,Oxycodone
2-Phenyl-1 3-diketohydrindene,Phenindione
2-Phenyl-1 3-indandione,Phenindione
2-Phenyl-1 3(2H)-indenedione,Phenindione
Fenindiona,Phenindione
Fenindione,Phenindione
Phenindion,Phenindione
PhÃ©nindione,Phenindione
Phenindionum,Phenindione
PID,Phenindione
4'-Nitro-3'-trifluoromethylisobutyranilide,Flutamide
alpha alpha alpha-Trifluoro-2-methyl-4'-nitro-m-propionotoluidide,Flutamide
Flutamid,Flutamide
Flutamida,Flutamide
Flutamide,Flutamide
Flutamidum,Flutamide
FTA,Flutamide
NFBA,Flutamide
Niftolid,Flutamide
Niftolide,Flutamide
1-Methyl-5-(4-methylbenzoyl)-pyrrole-2-acetic acid,Tolmetin
1-Methyl-5-P-toluoylpyrrole-2-acetic acid,Tolmetin
5-(P-Toluoyl)-1-methylpyrrole-2-acetic acid,Tolmetin
Tolmetin,Tolmetin
Tolmetina,Tolmetin
TolmÃ©tine,Tolmetin
Tolmetino,Tolmetin
Tolmetinum,Tolmetin
1-Cyano-2-methyl-3-(2-(((5-methyl-4-imidazolyl)methyl)thio)ethyl)guanidine,Cimetidine
2-Cyano-1-methyl-3-(2-(((5-methylimidazol-4-yl)methyl)thio)ethyl)guanidine,Cimetidine
Cimetag,Cimetidine
Cimetidin,Cimetidine
Cimetidina,Cimetidine
CimÃ©tidine,Cimetidine
Cimetidinum,Cimetidine
N-Cyano-n'-methyl-n''-(2-([(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl)ethyl)guanidine,Cimetidine
N''-cyano-N-methyl-n'-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]thio}ethyl)guanidine,Cimetidine
Tagamet hb 200,Cimetidine
Ulcerfen,Cimetidine
1-(3-p-fluorobenzoylpropyl)-4-p-chlorophenyl-4-hydroxypiperidine,Haloperidol
4-(4-(para-chlorophenyl)-4-hydroxypiperidino)-4'-fluorobutyrophenone,Haloperidol
4-[4-(4-chlorophenyl)-4-hydroxy-1-piperidyl]-1-(4-fluorophenyl)-butan-1-one,Haloperidol
4'-fluoro-4-(4-(p-chlorophenyl)-4-hydroxypiperidinyl)butyrophenone,Haloperidol
4'-fluoro-4-(4-hydroxy-4-(4'-chlorophenyl)piperidino)butyrophenone,Haloperidol
Haloperidolum,Haloperidol
Î_-(4-(p-chlorophenyl)-4-hydroxpiperidino)-p-fluorbutyrophenone,Haloperidol
Ritonavir,Ritonavir
Ritonavirum,Ritonavir
Levallofano,Levallorphan
Levallorphan,Levallorphan
LÃ©vallorphane,Levallorphan
Levallorphanum,Levallorphan
Levalorfano,Levallorphan
Lorfan,Levallorphan
Naloxiphan,Levallorphan
Adrovet,Nitazoxanide
Nitaxozanid,Nitazoxanide
Nitaxozanide,Nitazoxanide
Nitazoxanida,Nitazoxanide
Nitazoxanidum,Nitazoxanide
Nodik,Nitazoxanide
Omniparax,Nitazoxanide
10-(3-(Dimethylamino)propyl)-2-(trifluoromethyl)phenothiazine,Triflupromazine
2-(Trifluoromethyl)promazine,Triflupromazine
2-Trifluoromethyl-10-(gamma-dimethylaminopropyl)phenothiazine,Triflupromazine
Fluopromazine,Triflupromazine
Triflupromazin,Triflupromazine
Triflupromazina,Triflupromazine
Triflupromazine,Triflupromazine
